chr	pos	strand	ratio
chr1	100002686	+	1
chr1	100024440	+	0.622222222
chr1	100024500	+	0.569444444
chr1	100024747	+	0.166666667
chr1	100088455	-	0.5
chr1	100088489	-	0.25
chr1	100092740	-	0.555555556
chr1	100124519	-	0.25
chr1	100124627	-	1
chr1	100145764	+	0.208754209
chr1	100189213	-	0.277777778
chr1	100189256	-	0.277777778
chr1	100189257	-	0.166666667
chr1	100193700	-	0.162962963
chr1	100193709	-	0.134680135
chr1	100209237	-	0.5
chr1	100211910	-	1
chr1	100394215	+	0.5
chr1	1008787	+	0.133333333
chr1	1008892	+	0.166666667
chr1	1009091	+	0.125
chr1	10092427	+	1
chr1	1009426	+	0.2
chr1	1009494	+	0.333333333
chr1	1009918	+	0.25
chr1	1009924	+	0.5
chr1	100993385	-	1
chr1	100994800	-	0.333333334
chr1	1009974	+	0.266666667
chr1	101016110	-	0.4
chr1	101016583	-	0.444444444
chr1	101016584	-	0.666666667
chr1	101016665	-	0.466666667
chr1	101075597	+	0.111111111
chr1	101075616	+	0.111111111
chr1	10114743	+	1
chr1	10263104	+	0.5
chr1	10265769	+	0.5
chr1	10396745	+	0.5
chr1	10457219	-	0.158467649
chr1	10457256	-	0.102873077
chr1	10457295	-	0.163409703
chr1	10457455	-	0.192293907
chr1	10457470	-	0.3
chr1	10457507	-	0.233901515
chr1	10457510	-	0.130739893
chr1	10457556	-	0.438766702
chr1	10457566	-	0.212719298
chr1	10457596	-	0.234642857
chr1	10458677	-	0.102518787
chr1	10459062	-	0.125506073
chr1	10459831	-	0.169336385
chr1	10459855	-	0.134248665
chr1	10459925	-	0.184503902
chr1	10460079	-	0.130952381
chr1	10460096	-	0.259963768
chr1	10460097	-	0.255827506
chr1	10460123	-	0.559139785
chr1	10460133	-	0.223684211
chr1	10460239	-	0.435416667
chr1	10460321	-	0.39790427
chr1	10460448	-	0.113528139
chr1	10460668	-	0.140604575
chr1	10460694	-	0.205658902
chr1	10460762	-	0.303995116
chr1	10461113	-	0.231481482
chr1	10461143	-	0.27922277
chr1	10501830	+	0.5
chr1	10542569	+	1
chr1	10542650	+	0.5
chr1	10542694	+	0.5
chr1	10543336	+	0.25
chr1	10543736	+	1
chr1	10577010	+	0.5
chr1	10577158	+	0.5
chr1	108910609	+	0.5
chr1	108932158	-	0.115740741
chr1	108933019	-	0.466666667
chr1	108933020	+	0.133333333
chr1	108944219	-	0.5
chr1	108944810	-	0.25
chr1	108951319	-	0.25
chr1	108951841	-	0.333333333
chr1	108951842	-	0.833333333
chr1	108951908	-	0.166666667
chr1	108952051	-	0.166666667
chr1	108952264	-	0.333333333
chr1	108952381	-	0.888888889
chr1	108952382	-	0.222222222
chr1	108952443	-	0.523809524
chr1	108952444	-	0.619047619
chr1	108952540	-	0.333333333
chr1	108952542	-	0.833333334
chr1	108954456	-	0.233333333
chr1	108954901	-	0.5
chr1	108954972	-	0.333333333
chr1	108955006	-	0.25
chr1	108956539	-	1
chr1	108956585	-	0.5
chr1	108960982	-	0.5
chr1	108962612	-	0.166666667
chr1	109007076	-	0.25
chr1	109008372	-	0.5
chr1	109031868	-	1
chr1	109063178	-	0.102564103
chr1	109063181	-	0.270833333
chr1	109063527	-	0.131400966
chr1	109063534	-	0.367272727
chr1	109063570	-	0.155677656
chr1	109063715	-	0.170952381
chr1	109063901	-	0.224789916
chr1	109063913	-	0.178554779
chr1	109063914	-	0.106583072
chr1	109063968	-	0.201577274
chr1	109063990	-	0.203571429
chr1	109064035	-	0.502139965
chr1	109217700	+	0.5
chr1	109218072	+	0.833333333
chr1	109219642	+	0.5
chr1	109219652	+	0.666666667
chr1	109227134	+	0.25
chr1	109332417	-	1
chr1	109403547	-	0.166666667
chr1	109407259	-	0.5
chr1	109409429	-	0.25
chr1	109596453	+	1
chr1	109596454	+	1
chr1	1098136	-	0.166666667
chr1	1098137	-	0.333333333
chr1	1098348	-	0.133333333
chr1	1098820	-	0.5
chr1	1100034	-	0.333333333
chr1	1101317	-	0.666666667
chr1	1101361	-	0.5
chr1	1101461	-	0.166666667
chr1	1101989	-	0.166666667
chr1	110237101	+	0.333333333
chr1	1102536	-	0.25
chr1	1102545	-	1
chr1	1102736	-	0.5
chr1	1102741	-	0.333333333
chr1	11027960	+	0.333333334
chr1	11028101	+	0.166666667
chr1	11028205	+	0.5
chr1	11028920	+	1
chr1	11029132	+	0.5
chr1	1102966	-	0.428571429
chr1	1102967	-	0.142857143
chr1	11029756	+	0.5
chr1	11029768	+	0.5
chr1	110352527	+	0.133333333
chr1	110352640	+	0.5
chr1	110352641	+	0.5
chr1	110353248	+	0.2
chr1	110357592	+	0.285714286
chr1	110357619	+	0.5
chr1	110358199	+	0.487745098
chr1	110358205	+	0.231913116
chr1	110359392	+	0.706349206
chr1	110359393	+	0.6
chr1	110359431	+	0.545512821
chr1	110359873	+	0.361904762
chr1	110359941	+	0.184126984
