chr	pos	strand	ratio
chr1	727161	-	1
chr1	727163	-	1
chr1	727266	-	0.666666667
chr1	1094208	-	0.5
chr1	1098206	-	1
chr1	1098274	-	0.5
chr1	1101908	-	1
chr1	1102535	-	0.75
chr1	1102965	-	1
chr1	1112805	-	1
chr1	1113317	-	1
chr1	1113732	-	1
chr1	1113758	-	1
chr1	1114143	-	0.5
chr1	1114149	-	0.5
chr1	1280064	+	1
chr1	1317060	-	1
chr1	1317062	-	1
chr1	1318563	-	0.166666667
chr1	1402871	-	1
chr1	1409620	+	1
chr1	1484319	+	1
chr1	1484507	+	0.5
chr1	1557536	-	0.1
chr1	1663537	-	0.208333334
chr1	1663566	-	0.376623377
chr1	1663608	-	0.339285715
chr1	1664099	-	0.25
chr1	1729415	-	0.333333334
chr1	1729612	-	1
chr1	1731107	-	0.4
chr1	1731254	-	0.333333334
chr1	1731293	-	0.75
chr1	1731324	-	0.5
chr1	1732189	-	0.25
chr1	1732994	-	0.333333333
chr1	1733035	-	0.25
chr1	1733659	-	0.5
chr1	1870268	-	1
chr1	1887700	-	0.5
chr1	1887813	-	0.75
chr1	2187521	-	1
chr1	2189220	-	1
chr1	2366814	-	1
chr1	2369106	-	1
chr1	2369107	-	1
chr1	3812752	-	0.166666667
chr1	3812753	-	0.2
chr1	3813292	-	1
chr1	3813361	-	1
chr1	3813388	-	1
chr1	3813516	-	1
chr1	3813517	-	0.6
chr1	3813593	-	0.5
chr1	3813762	-	0.333333333
chr1	3813766	-	0.333333333
chr1	3813835	-	1
chr1	6192586	-	1
chr1	6222163	-	0.551351352
chr1	6222175	-	0.213235294
chr1	6222176	-	0.125
chr1	6222254	-	0.2
chr1	6222263	-	0.5
chr1	6222339	-	0.533333334
chr1	6222340	-	0.155597723
chr1	6223199	-	0.311111111
chr1	6223203	-	0.125
chr1	6223283	-	0.183333334
chr1	6223287	-	0.571428572
chr1	6223304	-	0.365384616
chr1	6223378	-	0.427419355
chr1	6223379	-	0.34375
chr1	6522088	-	0.101010101
chr1	6522292	-	0.132488479
chr1	6522466	-	0.5
chr1	6522497	-	0.166666667
chr1	6522771	-	0.2
chr1	6522807	-	0.125
chr1	6523005	-	0.125
chr1	6523322	-	0.121428572
chr1	6523396	-	0.25
chr1	6523416	-	0.125
chr1	6523466	-	0.166666667
chr1	6524877	-	0.1
chr1	6525010	-	0.2
chr1	6525011	-	0.2
chr1	6525271	-	0.105263158
chr1	6612289	-	1
chr1	6647033	-	0.5
chr1	6648664	-	0.333333334
chr1	6648714	-	1
chr1	6649307	-	0.25
chr1	6649427	-	1
chr1	6649440	-	0.5
chr1	6649782	-	0.5
chr1	6649871	-	1
chr1	6650143	-	0.5
chr1	6650321	-	0.333333333
chr1	6650449	-	0.5
chr1	6650482	-	1
chr1	6650771	-	0.166666667
chr1	6677495	-	1
chr1	9100929	-	0.166666667
chr1	9101185	-	0.5
chr1	9101305	-	0.333333333
chr1	9101306	-	0.333333333
chr1	9102243	-	0.5
chr1	9123926	-	1
chr1	9149389	-	0.5
chr1	9172465	-	1
chr1	9236560	+	1
chr1	9267986	+	0.277777778
chr1	9268182	+	0.75
chr1	9268183	+	0.25
chr1	9582968	+	1
chr1	9740087	-	0.5
chr1	9927411	-	0.464912281
chr1	9927425	-	0.7
chr1	9927785	-	0.5
chr1	9927788	-	0.25
chr1	9927794	-	0.125
chr1	9927798	-	0.25
chr1	9927811	-	0.625
chr1	9927821	-	0.375
chr1	9927892	-	0.266666667
chr1	9928189	-	0.556818182
chr1	9928200	-	0.427272728
chr1	9928229	-	0.133333334
chr1	9928632	-	0.195488722
chr1	9928633	-	0.392857143
chr1	9928659	-	0.125
chr1	9928707	-	0.464285715
chr1	9928750	-	0.375
chr1	9983299	+	0.5
chr1	9983304	+	0.5
chr1	9983544	+	0.333333333
chr1	9984078	+	1
chr1	9984146	+	0.75
chr1	9984147	+	0.5
chr1	9984251	+	0.25
chr1	10457218	-	0.360902256
chr1	10457232	-	0.17669173
chr1	10457242	-	0.552631579
chr1	10457255	-	0.175
chr1	10457294	-	0.267676768
chr1	10457454	-	0.75
chr1	10457468	-	0.5
chr1	10457469	-	0.833333334
chr1	10457506	-	0.1
chr1	10457509	-	0.6
chr1	10457555	-	0.416666667
chr1	10457565	-	0.348484849
chr1	10457595	-	0.25
chr1	10457601	-	0.166666667
chr1	10457940	-	0.180555556
