chr	pos	strand	ratio
chr1	136377	-	0.65
chr1	136474	-	0.65
chr1	136572	-	0.9
chr1	136670	-	0.15
chr1	511684	-	0.2
chr1	727266	-	0.64
chr1	749346	-	0.1
chr1	780381	+	0.4
chr1	1068590	-	0.25
chr1	1068726	-	0.5
chr1	1112718	-	0.4
chr1	1112864	-	0.3
chr1	1112950	-	0.83
chr1	1112951	-	0.46
chr1	1221497	-	0.18
chr1	1221501	-	0.15
chr1	1316229	-	0.06
chr1	1316460	-	0.13
chr1	1316476	-	0.03
chr1	1316528	-	0.05
chr1	1316799	-	0.42
chr1	1316801	-	0.19
chr1	1317000	-	0.04
chr1	1317009	-	0.04
chr1	1317087	-	0.04
chr1	1317127	-	0.04
chr1	1317129	-	0.15
chr1	1317132	-	0.17
chr1	1317163	-	0.04
chr1	1317206	-	0.21
chr1	1317224	-	0.05
chr1	1317271	-	0.17
chr1	1317273	+	0.05
chr1	1317281	-	0.11
chr1	1317310	-	0.04
chr1	1317342	-	0.11
chr1	1317932	-	0.22
chr1	1317962	-	0.27
chr1	1317970	-	0.13
chr1	1317976	-	0.56
chr1	1317995	-	0.21
chr1	1317999	-	0.09
chr1	1318030	-	0.14
chr1	1318038	-	0.11
chr1	1318043	-	0.11
chr1	1318053	-	0.08
chr1	1318141	-	0.14
chr1	1318142	-	0.11
chr1	1318422	-	0.12
chr1	1318488	-	0.06
chr1	1318509	-	0.04
chr1	1402785	-	0.25
chr1	1402906	-	0.18
chr1	1403011	-	0.4
chr1	1403303	-	0.15
chr1	1403339	-	0.21
chr1	1403381	-	0.19
chr1	1403403	-	0.24
chr1	1403467	-	0.07
chr1	1404701	-	0.09
chr1	1405333	-	0.11
chr1	1407774	+	0.55
chr1	1408125	+	0.14
chr1	1408873	+	0.57
chr1	1408874	+	0.54
chr1	1409042	+	0.23
chr1	1409081	+	0.15
chr1	1409512	+	0.14
chr1	1409619	+	0.05
chr1	1409620	+	0.76
chr1	1409621	+	0.13
chr1	1423615	-	0.5
chr1	1423618	-	0.62
chr1	1423642	-	0.22
chr1	1423878	-	0.3
chr1	1424195	-	0.23
chr1	1424476	-	0.55
chr1	1424478	-	0.25
chr1	1424639	-	0.46
chr1	1428810	-	0.11
chr1	1429004	+	0.15
chr1	1429005	+	0.09
chr1	1429008	+	0.14
chr1	1429010	+	0.11
chr1	1429057	+	0.22
chr1	1429070	+	0.09
chr1	1429093	+	0.15
chr1	1429268	+	0.15
chr1	1429929	+	0.11
chr1	1429960	+	0.43
chr1	1429964	+	0.05
chr1	1430057	+	0.18
chr1	1430060	-	0.11
chr1	1430085	+	0.27
chr1	1430109	+	0.14
chr1	1430116	-	0.14
chr1	1446287	+	0.25
chr1	1446293	+	0.73
chr1	1446310	+	0.23
chr1	1446320	+	0.29
chr1	1446321	+	0.5
chr1	1446372	+	0.41
chr1	1446389	+	0.26
chr1	1446390	+	0.17
chr1	1446459	+	0.31
chr1	1469610	+	0.58
chr1	1483030	+	0.08
chr1	1483074	+	0.09
chr1	1483113	+	0.06
chr1	1483155	+	0.12
chr1	1483345	+	0.04
chr1	1483524	+	0.05
chr1	1483561	+	0.05
chr1	1483584	+	0.04
chr1	1483585	+	0.14
chr1	1483595	+	0.05
chr1	1483606	+	0.1
chr1	1483679	+	0.24
chr1	1483685	+	0.05
chr1	1484244	+	0.16
chr1	1484284	+	0.09
chr1	1484297	+	0.12
chr1	1484309	+	0.34
chr1	1484319	+	0.32
chr1	1484387	+	0.53
chr1	1484392	+	0.82
chr1	1484441	+	0.06
chr1	1484442	+	0.08
chr1	1484454	+	0.08
chr1	1484507	+	0.09
chr1	1520841	+	0.55
chr1	1520896	+	0.21
chr1	1520897	+	0.43
chr1	1520922	+	0.67
chr1	1521130	+	0.2
chr1	1521151	+	0.43
chr1	1521191	+	0.38
chr1	1521192	+	0.38
chr1	1521218	+	0.21
chr1	1521793	+	0.17
chr1	1521798	+	0.24
chr1	1521799	+	0.53
chr1	1521911	+	0.47
chr1	1522138	+	0.41
chr1	1522139	+	0.44
chr1	1522164	+	0.28
chr1	1522180	+	0.17
chr1	1522200	+	0.24
chr1	1522220	+	0.47
chr1	1522240	+	0.23
chr1	1561222	-	0.18
chr1	1561261	-	0.24
chr1	1561304	-	0.29
chr1	1563454	-	0.06
chr1	1607612	+	0.58
chr1	1663500	-	0.02
chr1	1663508	-	0.01
chr1	1663522	-	0.01
chr1	1663546	-	0.01
chr1	1663559	-	0.03
chr1	1663566	-	0.3
chr1	1663567	-	0.07
chr1	1663585	-	0.13
chr1	1663591	-	0.06
chr1	1663594	-	0.02
chr1	1663607	-	0.02
chr1	1663608	-	0.14
chr1	1663634	-	0.15
chr1	1663637	-	0.07
chr1	1663639	-	0.01
chr1	1663740	-	0.03
chr1	1664022	-	0.03
chr1	1664099	-	0.11
chr1	1664120	-	0.03
chr1	1664125	-	0.02
chr1	1664135	-	0.05
chr1	1725117	-	0.17
chr1	1729410	-	0.3
chr1	1729415	-	0.35
chr1	1729447	-	0.35
chr1	1729448	-	0.09
chr1	1729452	-	0.06
chr1	1729476	-	0.42
chr1	1729477	-	0.42
chr1	1729491	-	0.06
chr1	1729508	-	0.26
chr1	1729517	-	0.62
chr1	1729518	-	0.66
chr1	1729544	-	0.1
chr1	1729548	-	0.06
chr1	1729549	-	0.06
chr1	1729550	-	0.11
chr1	1729553	-	0.16
chr1	1729555	-	0.04
chr1	1729556	-	0.09
chr1	1729557	-	0.04
chr1	1729578	-	0.04
chr1	1729583	-	0.18
chr1	1729584	-	0.1
chr1	1729596	-	0.14
chr1	1729598	-	0.17
chr1	1729607	-	0.17
chr1	1729612	-	0.21
chr1	1729613	-	0.18
chr1	1729650	-	0.11
chr1	1729659	-	0.44
chr1	1729970	-	0.41
chr1	1730031	-	0.2
chr1	1730052	-	0.5
chr1	1731107	-	0.24
chr1	1731163	-	0.04
chr1	1731164	-	0.48
chr1	1731170	-	0.43
chr1	1731171	-	0.11
chr1	1731183	-	0.09
chr1	1731187	-	0.83
chr1	1731200	-	0.08
chr1	1731212	-	0.36
chr1	1731228	-	0.1
chr1	1731232	-	0.1
chr1	1731254	-	0.71
chr1	1731264	-	0.64
chr1	1731267	-	0.08
chr1	1731268	-	0.33
chr1	1731289	-	0.16
chr1	1731293	-	0.44
chr1	1731294	-	0.32
chr1	1731314	-	0.43
chr1	1731324	-	0.73
chr1	1732120	-	0.1
chr1	1732994	-	0.82
chr1	1733035	-	0.62
chr1	1733041	-	0.53
chr1	1733057	-	0.68
chr1	1733074	-	0.11
chr1	1733076	-	0.2
chr1	1733138	-	0.14
chr1	1733142	-	0.09
chr1	1733355	-	0.59
